"","name","position","specialty","education"
"126","ASHTON,RANDOLPH","Associate Professor","Biomedical Engineering","PHD 2007 Rensselaer Polytechnic Inst"
"127","ASIF,MUHAMMAD","Lecturer","Asian Languages &amp; Cultures","EDD 2015 University of Leeds"
"128","ASMUS,JENNIFER M","Professor","Educational Psychology","PHD 1995 University of Iowa"
"129","ASSADI-PORTER,FARIBA MASOUMEH","Assoc Lecturer","Integrative Biology","PHD 1994 Univ of Wisconsin-Madison"
"130","ASTOR,BRAD C","Professor","Medicine","PHD 2000 Johns Hopkins University"
"131","ASTRELLA,JULIE","Clinical Assoc Prof","Nursing","MSN 2009 Edgewood College"
"132","ATAPATTU,SUMUDU","Dis Admin Prgm Spec","Law School","PHD 1995 University of Cambridge"
"133","ATTIE,ALAN DAVID","Professor","Biochemistry","PHD 1980 Univ of California San Diego"
"134","ATUCHA,AMAYA","Assistant Professor","Horticulture","PHD 2012 Cornell University"
"135","AUDHYA,ANJON","Professor","Biomolecular Chemistry","PHD 2002 Univ of California San Diego"
"136","AUERBACH,EMILY KATE","Professor","Liberal Arts &amp; Applied Studies","PHD 1981 University of Washington"
"137","AUGER,ANTHONY","Professor","Psychology","PHD 1998 Univ of Massachusetts Amherst"
"138","AUGHENBAUGH,WILLIAM","Professor (Chs)","Dermatology","MD 1997 Medical College Of Wisconsin"
"139","AULIK,NICOLE ANN","Clinical Asst Prof","Madison Microbiology","PHD 2010 Univ of Wisconsin-Madison"
"140","AUNG,HTET HTET","Assoc Lecturer","Information School","MS 2003 Carnegie-Mellon University"
"141","AUSDERAU,KARLA","Associate Professor","Kinesiology","PHD 2009 Univ of Southern California"
"142","AUSTERWEIL,JOE","Assistant Professor","Psychology","PHD 2012 Univ of California Berkeley"
"143","AVEY,GREGORY","Assoc Professor (Chs)","Radiology","MD 2005 University of Washington"
"144","AVRAMENKO,RICHARD","Professor","Political Science","PHD 2004 Georgetown University"
"145","AYARI BEN HADJ KACEM,MOUNA","Assoc Faculty Assoc","Computer Sciences","PHD 2009 Uni Pierre&amp;Marie Curie Paris"
"146","AYD,SHARON W","Adjunct Assoc Prof","Pharmacy","PHD  Univ of Illinois at Chicago"
"147","AZOCAR,SAMUEL ALEJANDRO","Senior Lecturer","English","PHD 2011 Univ of Wisconsin-Madison"
"148","AZODI,JAHANA","Asst Faculty Assoc","Theatre &amp; Drama","MFA 2014 University of Cincinnati"
"149","BABAL,JESSICA","Asst Professor (Chs)","Pediatrics","MD 2012 University of Cincinnati"
"150","BABAR,YASH","Assistant Professor","Operations &amp; Information Mgmt","PHD 2020 Univ of Minnesota-Twin Cities"
"151","BABCOCK,SUE","Professor","Materials Science&amp;Engineering","PHD 1987 Massachusetts Inst Of Tech"
"152","BACH,ERIC","Professor","Computer Sciences","PHD 1984 Univ of California Berkeley"
"153","BACH,JONATHAN F.","Clinical Assoc Prof","Medical Sciences","DVM 2000 Univ Of Minnesota-St Paul"
"154","BACH,TAIYA RENAE","Asst Faculty Assoc","Nutritional Sciences","MPH 2008 Tulane University"
"155","BACK,LARISSA E","Associate Professor","Atmospheric &amp; Oceanic Sciences","PHD 2007 University of Washington"
"156","BAHIA,HUSSAIN U.","Professor","Civil &amp; Environmental Engr","PHD 1991 Pennsylvania State University"
"157","BAI,YANG","Associate Professor","Physics","PHD  Yale University"
"158","BAILEY,HANNAH E","Assistant Dean/M","Admin:Student Academic Affairs","MA 2013 Clg of William &amp; Mary-Virginia"
"159","BAIR,JESSE JONAS","Adjunct Instructor","Law School","JD 2013 "
"160","BAIRD,IAN","Professor","Geography","PHD 2008 University of British Columbia"
"161","BAKER,ANGIE","Clinical Instructor","Nursing","MS 2009 Univ of Wisconsin-Madison"
"162","BAKER,BERNADETTE","Professor","Curriculum And Instruction","PHD 1997 Univ of Wisconsin-Madison"
"163","BAKER,TRACY","Associate Professor","Comparative Biosciences","PHD 2001 Univ of Wisconsin-Madison"
"164","BAKKEN,LORI","Honorary Assoc/Fellow","Civil Society And Comm Studies","PHD 1998 Univ of Wisconsin-Madison"
"165","BAKSHI,VAISHALI P","Associate Professor","Psychiatry","PHD 1998 Univ of California San Diego"
"166","BAL,AYDIN","Professor","Rehab Psychology &amp; Special Ed","PHD 2009 Arizona State University"
"167","BALANTEKIN,A. B.","Professor","Physics","PHD 1982 Yale University"
"168","BALDACCHINO,JOHN","Professor","Art","PHD 1994 University of Warwick"
"169","BALDO,BRIAN A","Associate Professor","Psychiatry","PHD 1998 Univ of California San Diego"
"170","BALDRIDGE,BIANCA J.","Associate Professor","Educational Policy Studies","PHD 2012 Columbia University"
"171","BALDRIDGE,ELIZABETH M","Lecturer","Counseling Psychology","EDM 2016 Univ of Wisconsin-La Crosse"
"172","BALDWIN,CODY","Faculty Associate","Ft Mba Program Office","MBA 2013 "
"173","BALLESTEROS CHAVEZ,JESUS A","Assoc Lecturer","Integrative Biology","PHD 2017 George Washington University"
"174","BALSTER,NICK","Professor","Soil Science","PHD 1999 University of Idaho"
"175","BANERJEE,MOU","Assistant Professor","History","PHD 2018 Harvard University"
"176","BANERJEE,SUMAN","Professor","Computer Sciences","PHD 2003 Univ of MD-University College"
"177","BANKS,MATTHEW ISAAC","Professor","Anesthesiology","PHD 1992 Univ of Wisconsin-Madison"
"178","BARAK,PHILLIP","Professor","Soil Science","PHD 1987 Hebrew University of Jerusalem"
"179","BARAK-CUNNINGHAM,JERI","Professor","Plant Pathology","PHD 2000 Univ of California Davis"
"180","BARBATO,ERIN MURPHY","Clinical Asst Prof","Law School","JD 2006 Marquette University"
"181","BARCELOS,CHRIS","Assistant Professor","Gender And Women Studies","PHD 2016 Univ of Massachusetts Amherst"
"182","BARCZI,STEVE","Professor (Chs)","Medicine","MD 1989 Univ of Illinois at Chicago"
"183","BARFORD,CAROL L","Senior Lecturer","Sustainability&amp;Global Environ","PHD 1997 Harvard University"
"184","BARFORD,PAUL R","Professor","Computer Sciences","PHD 2000 Boston University"
"185","BARGER,AMY JOSEPHINE","Professor","Astronomy","PHD 1997 University of Cambridge"
"186","BARGER,VERNON","Professor","Physics","PHD 1963 Pennsylvania State U-Hershey"
"187","BARHAM,BRADFORD","Professor","Agricultural&amp;Applied Economics","PHD 1988 Stanford University"
"188","BARICH,JOSEPH","Senior Lecturer","Engr Professional Development","JD  Boston College"
"189","BARLETT,CARL","Lecturer","Risk &amp; Insurance","JD 2009 Univ of Wisconsin-Madison"
"190","BARNARD,ERLIN","Dis Faculty Associate","Asian Languages &amp; Cultures","PHD 2004 Leeds Metropolitan University"
"191","BARNARD,MARK","Lecturer","Ft Mba Program Office","PHD 2002 "
"192","BARNES,JILL","Assistant Professor","Kinesiology","PHD 2009 University of Texas at Austin"
"193","BARNETT,SUSANNE","Assoc Professor (Chs)","Pharmacy","PHARMD 2004 Univ of Wisconsin-Madison"
"194","BARRETT,BRUCE PATRICK","Professor","Family Medicine","PHD 1992 Univ of Wisconsin-Madison"
"195","BARRETT,KEVIN","Assoc Lecturer","Botany","PHD 2019 Univ of Wisconsin-Madison"
"196","BARRETT,PATRICK STEPHEN","Assoc Faculty Assoc","Sociology","PHD 1997 Univ of Wisconsin-Madison"
"197","BARRY,AMY QUAN","Professor","English","MFA 1997 Univ of Michigan at Ann Arbor"
"198","BARRY,LYNDA","Professor","Art","BA 1978 Evergreen State College"
"199","BART,DAVID J.","Associate Professor","Planning &amp; Landscape Arch","PHD 2003 Rutgers State Univ-Newark"
"200","BARTA,CHERI","Faculty Associate","Chemistry","PHD 2007 University of British Columbia"
"201","BARTFELD,JUDITH","Professor","School Of Human Ecology","PHD 1997 Univ of Wisconsin-Madison"
"202","BARTH,MICHAEL","Assoc Lecturer","Accting &amp; Info Sys","MACC 2020 Univ of Wisconsin-Madison"
"203","BARTHOLOMAY,LYRIC C","Professor","Pathobiological Sciences","PHD 2004 Univ of Wisconsin-Madison"
"204","BARTHOLOMEW,KYLE","Clinical Instructor","Surgical Sciences","DVM 2017 Univ of Wisconsin-Madison"
"205","BARTLETT,HEATHER L","Professor (Chs)","Pediatrics","MD 1995 University of Arizona"
"206","BARTLETT,LESLEY","Professor","Educational Policy Studies","PHD 2001 Univ Of NC At Chapel Hill"
"207","BARTOL,LAURA JEAN","Assoc Faculty Assoc","Engineering Physics","DS 2013 Univ of Wisconsin-Madison"
"208","BARZEN,JEB","Adjunct Asst Prof","Planning &amp; Landscape Arch","MS 1989 University of North Dakota"
"209","BASHIRULLAH,ARASH","Associate Professor","Pharmacy","PHD 1999 California Institute of Tech"
"210","BASKAYA,MUSTAFA K","Professor","Neurological Surgery","MD 1987 Ankara University"
"211","BATES,DESIREE M.","Inform Process Conslt","Chemistry","PHD 2010 University Of Mississippi"
"212","BATES,ERIK","Visiting Asst Prof","Mathematics","PHD 2019 Stanford University"
"213","BATT,BOB","Associate Professor","Operations &amp; Information Mgmt","PHD 2013 University of Pennsylvania"
"214","BATZLI,JANET MC CRAY","Dis Faculty Associate","Biology Core Curriculum","PHD 1998 Univ of IL at Urbana-Champaign"
"215","BAUER,ADAM","Asst Professor (Chs)","Pediatrics","MD 2012 University of Iowa"
"216","BAUER,ANNIE","Assistant Professor","Geoscience","PHD 2017 Massachusetts Inst Of Tech"
"217","BAUER,DANIEL","Professor","Risk &amp; Insurance","DS 2007 Universitat Ulm"
"218","BAUER-ARMSTRONG,CHERYL","Faculty Associate","Planning &amp; Landscape Arch","MA 2003 Harvard University"
"219","BAUM,DAVID","Professor","Botany","PHD 1991 Washington University"
"220","BAUTISTA MENDOZA,GLORIA ROCIO","Senior Lecturer","Statistics","MS2 2009 "
"221","BAUTISTA,LEONELO E","Associate Professor","Population Health Sciences","PHD 1993 Johns Hopkins University"
"222","BAVAFA,HESSAM","Assistant Professor","Operations &amp; Information Mgmt","PHD 2014 University of Pennsylvania"
"223","BAYOUTH,JOHN E","Professor","Human Oncology","PHD 1993 Univ of TX Health Sci Center"
"224","BAZALAKOVA,MIHAELA H","Asst Professor (Chs)","Neurology","PHD 2008 Vanderbilt University"
"225","BEA,MEGAN DOHERTY","Assistant Professor","School Of Human Ecology","PHD 2019 Cornell University"
"226","BEACH,JEREMY PAUL","Assoc Faculty Assoc","Agricultural&amp;Applied Economics","MS 2011 Univ of Wisconsin-Madison"
"227","BEAMSLEY,MARK B","Clinical Assoc Prof","Family Medicine","MD 1999 Loyola University of Chicago"
"228","BEAN,DEREK MERRILL","Assoc Faculty Assoc","Statistics","PHD 2014 Univ of California Berkeley"
"229","BEARDEN,ELIZABETH B","Professor","English","PHD 2006 New York University"
"230","BEATTIE,ROBERT","Faculty Associate","Academic Programs","PHD 1998 Massachusetts Inst Of Tech"
"231","BECHTOL,KEITH","Assistant Professor","Physics","PHD 2012 Stanford University"
"232","BECKER,AMY ELIZABETH","Faculty Associate","Academic Affairs","MA  Univ of Wisconsin-Madison"
"233","BECKER,MEL","Lecturer","Art","MA  Sch Of The Art Inst Of Chicago"
"234","BECKHAM,SARAH","Asst Faculty Assoc","Asian Studies","PHD 2016 Univ of Wisconsin-Madison"
"235","BEDNAREK,SEBASTIAN YORK","Professor","Biochemistry","PHD 1992 Michigan State University"
"236","BEDNARZ,BRYAN P","Associate Professor","Medical Physics","PHD 2008 Rensselaer Polytechnic Inst"
"237","BEEBE,DAVID J","Professor","Pathology&amp;Laboratory Medicine","PHD 1994 Univ of Wisconsin-Madison"
"238","BEEBE,REBECCA","Sr Student Serv Coord","Academic Affairs","MS 2004 Univ of Wisconsin-Whitewater"
"239","BEGAM,RICHARD J.","Professor","English","PHD 1989 University of Virginia"
"240","BEHDAD,NADER","Professor","Electrical &amp; Computer Engr","PHD 2006 Univ of Michigan at Ann Arbor"
"241","BEHM,JENNA LYNN","Lecturer","Counseling Psychology","PSYD 2014 North Central University"
"242","BEHNKE,RACHEL","Assoc Lecturer","Information School","MLIS 2016 Univ of Wisconsin-Madison"
"243","BEIA,SUZANNE","Artist-In-Residence","Mead Witter School Of Music","OQUAL  "
"244","BEILIN,KATARZYNA O","Professor","Spanish And Portuguese","PHD 1998 University of Chicago"
"245","BELL,DAVID R","Associate Professor","Kinesiology","PHD 2010 Univ Of NC At Chapel Hill"
"246","BELL,MICHAEL M","Professor","Community &amp; Environ Sociology","PHD 1992 Yale University"
"247","BELLING,SHAWN D","Lecturer","Engr Professional Development","MS  "
"248","BELLMORE,AMY","Professor","Educational Psychology","PHD 2001 University of Connecticut"
"249","BELTRAN PORTALES,DAVID","Visiting Asst Prof","Mathematics","PHD 2017 University of  Birmingham"
"250","BEMENT,WILLIAM M.","Professor","Integrative Biology","PHD 1991 Arizona State University"
"251","BENALLY THOMPSON,BRET ROBERT","Clinical Asst Prof","Medicine","MD 2004 Univ of Minnesota-Twin Cities"
"252","BENDLIN,BARBARA B","Associate Professor","Medicine","PHD 2006 University of Arizona"
"253","BENEKER,JEFF","Professor","Classic &amp; Ancient Near E Stds","PHD 2002 Univ Of NC At Chapel Hill"
"254","BENGSON,JOHN T","Associate Professor","Philosophy","PHD 2010 University of Texas at Austin"
"255","BENGURIA DEPASSIER,SOLEDAD","Asst Faculty Assoc","Mathematics","PHD 2014 Univ of Wisconsin-Madison"
"256","BENNETT,ALLYSON J","Professor","Psychology","PHD 1996 University Of Memphis"
"257","BENSKY,ANNE MARYSE","Adjunct Instructor","Law School","JD 2008 Univ of Wisconsin-Madison"
"258","BENSON,MARK E","Assoc Professor (Chs)","Medicine","MD 2002 Dartmouth College"
"259","BENT,ANDREW","Professor","Plant Pathology","PHD 1989 Massachusetts Inst Of Tech"
"260","BENTLEY,ELLISON","Clinical Professor","Surgical Sciences","DVM 1993 University of Florida"
"261","BENTZ,MICHAEL L","Professor","Surgery","MD 1984 Temple University"
"262","BERGER,LAWRENCE M","Professor","Social Work","PHD 2002 Columbia University"
"263","BERGMANN,UWE","Professor","Physics","PHD 1994 SUNY At Stony Brook"
"264","BERKELMAN,JIM","Faculty Associate","Forest &amp; Wildlife Ecology","PHD 1997 VA Polytechnic Inst &amp; State U"
"265","BERLAND,LEEMA","Associate Professor","Curriculum And Instruction","PHD 2008 Northwestern University"
"266","BERLAND,MATTHEW","Associate Professor","Curriculum And Instruction","PHD 2008 Northwestern University"
"267","BERNARD,KRISTEN","Professor","Pathobiological Sciences","PHD 1995 Univ of Wisconsin-Madison"
"268","BERNARD-DONALS,MICHAEL","Professor","English","PHD 1991 SUNY At Stony Brook"
"269","BERNER,COURTNEY","Assoc Faculty Assoc","Cooperatives, Univ Center For","MS 2011 Univ of Wisconsin-Madison"
"270","BERNHARDT,DAVID T.","Professor (Chs)","Pediatrics","MD 1989 Univ of Wisconsin-Madison"
"271","BERRIDGE,CRAIG","Professor","Psychology","PHD 1988 University of Florida"
"272","BERRY,JOHN FERGUSON","Professor","Chemistry","PHD 2004 Texas A &amp; M University"
"273","BERSHADY,MATTHEW A.","Professor","Astronomy","PHD 1992 University of Chicago"
"274","BERSON,ARGANTHAEL","Lecturer","Mechanical Engineering","PHD 2007 Ecole Centrale de Lyon"
